Product Name,Price,Link
SEOUL + LISBOA EDT 2 X 90 ML / 3.38 oz,"₹ 2,150.00",https://www.zara.com/in/en/seoul-lisboa-edt-2-x-90-ml---3-38%C2%A0oz-p20210754.html
SILVER + GOLD EDT 2 X 90 ML / 3.04 oz,"₹ 2,150.00",https://www.zara.com/in/en/silver-gold-edt-2-x-90-ml---3-04-oz-p20210769.html
100% LINEN POLO SHIRT,"₹ 4,350.00",https://www.zara.com/in/en/100-linen-polo-shirt-p04592184.html
T-SHIRT WITH CONTRASTING RIBBED TRIMS,"₹ 2,350.00",https://www.zara.com/in/en/t-shirt-with-contrasting-ribbed-trims-p00962465.html
W/END TILL 3:00 AM + W/END TILL 8:00 PM EDT 2 X 90ML / 3.04 FL.OZ,"₹ 2,150.00",https://www.zara.com/in/en/w-end-till-3-00-am-w-end-till-8-00-pm-edt-2-x-90ml---3-04-fl-oz-p20210772.html
SEOUL + SEOUL SUMMER EDT 2 X 90 ML / 3.04 oz,"₹ 2,150.00",https://www.zara.com/in/en/seoul-seoul-summer-edt-2-x-90-ml---3-04%C2%A0oz-p20210218.html
BASIC CONTRAST RIB T-SHIRT,"₹ 1,950.00",https://www.zara.com/in/en/basic-contrast-rib-t-shirt-p00761412.html
#TOBACCO INTENSE DARK EXCLUSIVE + RICH WARM ADDICTIVE EDP 2 X 100 ML / 2 x 3.38 oz,"₹ 1,750.00",https://www.zara.com/in/en/-tobacco-intense-dark-exclusive-rich-warm-addictive-edp-2-x-100-ml---2-x-3-38%C2%A0oz-p20210474.html
STRIPED T-SHIRT,"₹ 2,350.00",https://www.zara.com/in/en/striped-t-shirt-p01887413.html
#TOBACCO COLLECTION RICH WARM ADDICTIVE EDT 100 ML / 3.38 oz,"₹ 1,150.00",https://www.zara.com/in/en/-tobacco-collection-rich-warm-addictive-edt-100-ml---3-38%C2%A0oz-p20210472.html
CONTRAST PATCH SHIRT,"₹ 4,350.00",https://www.zara.com/in/en/contrast-patch-shirt-p00881415.html
RETRO FOOTBALL TECHNICAL T-SHIRT,"₹ 2,550.00",https://www.zara.com/in/en/retro-football-technical-t-shirt-p06224457.html
CREASED-EFFECT SHIRT,"₹ 2,950.00",https://www.zara.com/in/en/creased-effect-shirt-p06103400.html
100% LINEN SHIRT,"₹ 4,350.00",https://www.zara.com/in/en/100-linen-shirt-p04024158.html
SEOUL SUMMER EDT 90 ML / 3.04 oz,"₹ 1,550.00",https://www.zara.com/in/en/seoul-summer-edt-90-ml---3-04%C2%A0oz-p20210634.html
SEOUL ABSOLUTE EDP 90ML / 3.04 oz,"₹ 1,950.00",https://www.zara.com/in/en/seoul-absolute-edp-90ml---3-04%C2%A0oz-p20210257.html
STRIPED JACQUARD T-SHIRT,"₹ 2,350.00",https://www.zara.com/in/en/striped-jacquard-t-shirt-p01165401.html
MAN NAVY BLACK + ZARA MAN 800 BLACK EDT 2 x 90 ML / 3.0 oz,"₹ 2,150.00",https://www.zara.com/in/en/man-navy-black-zara-man-800-black-edt-2-x-90-ml---3-0%C2%A0oz-p20210838.html
COMBINED PRINT T-SHIRT,"₹ 2,350.00",https://www.zara.com/in/en/combined-print-t-shirt-p06224471.html
COMPACT PIQUÉ T-SHIRT,"₹ 2,550.00",https://www.zara.com/in/en/compact-pique-t-shirt-p00526420.html
LONDON SAVILE ROW MAYFAIR EDT 90 ML (3.04 FL. OZ),"₹ 1,550.00",https://www.zara.com/in/en/london-savile-row-mayfair-edt-90-ml--3-04-fl--oz--p20210621.html
WASHED PRINT T-SHIRT,"₹ 2,350.00",https://www.zara.com/in/en/washed-print-t-shirt-p06224479.html
SUIT BAG,₹ 450.00,https://www.zara.com/in/en/suit-bag-p03920400.html
BAGGY FIT JEANS,"₹ 3,550.00",https://www.zara.com/in/en/baggy-fit-jeans-p04048400.html
SEOUL EDT 90 ML / 3.04 oz,"₹ 1,550.00",https://www.zara.com/in/en/seoul-edt-90-ml---3-04%C2%A0oz-p20210741.html
SHIRT WITH CONTRAST EMBROIDERY,"₹ 4,950.00",https://www.zara.com/in/en/shirt-with-contrast-embroidery-p02688130.html
COTTON/LINEN RELAXED FIT TROUSERS,"₹ 3,550.00",https://www.zara.com/in/en/cotton-linen-relaxed-fit-trousers-p01437450.html
GOLD EDT 90 ML / 3.04 oz,"₹ 1,550.00",https://www.zara.com/in/en/gold-edt-90-ml---3-04-oz-p20210736.html
LISBOA EDT 90 ML / 3.04 oz,"₹ 1,550.00",https://www.zara.com/in/en/lisboa-edt-90-ml---3-04%C2%A0oz-p20210742.html
COTTON - LINEN SHIRT,"₹ 3,550.00",https://www.zara.com/in/en/cotton---linen-shirt-p01063305.html
FADED PRINTED T-SHIRT,"₹ 2,350.00",https://www.zara.com/in/en/faded-printed-t-shirt-p06224453.html
TEXTURED KNIT POLO SHIRT,"₹ 3,550.00",https://www.zara.com/in/en/textured-knit-polo-shirt-p03332405.html
100% LINEN PLEATED TROUSERS,"₹ 4,950.00",https://www.zara.com/in/en/100-linen-pleated-trousers-p04410234.html
TEXTURED POLO SHIRT,"₹ 2,550.00",https://www.zara.com/in/en/textured-polo-shirt-p04092400.html
DOUBLE-STRAP SANDALS,"₹ 3,950.00",https://www.zara.com/in/en/double-strap-sandals-p12700529.html
BASIC SLIM FIT T-SHIRT,₹ 950.00,https://www.zara.com/in/en/basic-slim-fit-t-shirt-p05584361.html
SLIM FIT JEANS,"₹ 2,950.00",https://www.zara.com/in/en/slim-fit-jeans-p05575345.html
